objectID,Title,ArtistName,Department,TimePeriod,Height,Width,H/W Ratio,Color,Region Detailed,Region Broad,Country
36082,Portrait of an Old Lady,Ruan Zude,Asian Art,"dated ""xinyou"" (1561 or 1621?)",2554,4000,0.6385,RGB,China,China,China
36083,The Sixteen Luohans,Chen Xian,Asian Art,spurious date of 1634,4000,3417,1.170617500731636,RGB,China or Japan,China or Japan,Japan
36084,Flowering Plum in Moonlight and Snow,Liu Shiru,Asian Art,16th century,1422,2200,0.6463636363636364,RGB,China,China,China
36089,"Autumn Landscape, leaf from Album for Zhou Lianggong",Xiang Shengmo,Asian Art,1654,3896,2930,1.3296928327645052,RGB,China,China,China
36090,"White Crane Mountain, leaf from Album for Zhou Lianggong",Ye Xin,Asian Art,datable to 1654–55,1923,1509,1.2743538767395626,RGB,China,China,China
36091,"Mountain Retreat,  leaf from Album for Zhou Lianggong",Shi Lin,Asian Art,datable to 1654–55,3857,2945,1.3096774193548386,RGB,China,China,China
36093,Landscape for Zhao Yipeng,Tang Yin,Asian Art,late 15th–early 16th century,2576,3894,0.6615305598356446,RGB,China,China,China
36103,Eight Songs of the Xiao and Xiang Rivers,Wen Zhengming,Asian Art,Unavailable,3141,3275,0.9590839694656488,RGB,China,China,China
36105,"Cranes, Peach Tree, and Chinese Roses",Shen Quan,Asian Art,early 18th century,1247,2000,0.6235,RGB,China,China,China
36106,Flowers and Birds,Shen Quan,Asian Art,1750,2135,3880,0.5502577319587629,RGB,China,China,China
36107,Ema (Votive Painting) of Chinese Lion Led by Utenō,Unavailable,Asian Art,dated 1627,3893,3060,1.272222222222222,RGB,Japan,Japan,Japan
36109,Ema (Votive Painting) of Chinese Lion and Peony Tree,Unavailable,Asian Art,1649,4000,3366,1.1883541295306002,RGB,Japan,Japan,Japan
36112,Ōtsu-e of Thirteen Buddhist Deities,Unavailable,Asian Art,17th century,3000,4000,0.75,RGB,Japan,Japan,Japan
36120,Washing the White Elephant,Chen Zi,Asian Art,Unavailable,1261,2272,0.5550176056338029,RGB,China,China,China
36129,Landscapes Painted for Wang Kui,Wang Jian,Asian Art,1674–76,2000,1567,1.2763241863433312,RGB,China,China,China
36131,Landscapes with poems,Gong Xian,Asian Art,1688,1000,692,1.4450867052023122,RGB,China,China,China
36133,View From a Mountain Pavilion,Li Yin,Asian Art,1700,422,825,0.5115151515151515,RGB,China,China,China
36136,Spring Breeze of Myriad Pasts,Zhang You,Asian Art,Unavailable,3000,4000,0.75,RGB,China,China,China
36137,Gibbons and Deer,Unidentified artist,Asian Art,Unavailable,3807,3113,1.2229360745261806,RGB,China,China,China
36138,Listening to the Zither Among Streams and Pines,Xie Shichen,Asian Art,Unavailable,1139,2219,0.5132942767012167,RGB,China,China,China
36146,Copy of a Portrait of Zhao Mengfu,Unidentified artist,Asian Art,19th century,2111,4000,0.52775,RGB,China,China,China
36160,Bringing the Message of Victory to Dongshan,Wang Su,Asian Art,1862,1140,2000,0.57,RGB,China,China,China
36168,Landscapes after old masters,Du Xiang,Asian Art,19th century,2634,4000,0.6585,RGB,China,China,China
