objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture,Height,Width,H/W Ratio,Color
38048,Shah Jahan Hunting Blackbuck with Trained Cheetahs,Unavailable,1710–15,"Western India, Rajasthan, Udaipur",India,1700's,Asian Art,3855,2554,1.509397024,RGB
38052,Buddha Within a Stupa,Unavailable,16th–17th century,China,China,1600's,Asian Art,2271,3448,0.658642691,RGB
38057,Sketch with Kali and a Young Boy,Unavailable,ca. 1800,"India (Punjab Hills, Kangra?)",India,1800's,Asian Art,2813,4000,0.70325,RGB
38058,"Maharana Amar Singh II, Prince Sangram Singh and Courtiers Watch a Performance",Unavailable,ca. 1705–8,"India (Rajasthan, Mewar)",India,1700's,Asian Art,4000,3000,1.333333333,RGB
38070,The Buddha Descending from Trayastrimsa Heaven at Sankissa,Unavailable,19th century,Thailand,Thailand,1900's,Asian Art,2364,4000,0.591,RGB
38072,Lamaist Mandala,Unavailable,17th century,China,China,1700's,Asian Art,1140,1923,0.592823713,RGB
38347,Lha Mo Riding on a Donkey,Unavailable,18th century,China,China,1800's,Asian Art,1500,2000,0.75,RGB
38822,Luohans,Unidentified,17th–18th century,China,China,1700's,Asian Art,4000,3186,1.255492781,RGB
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Unavailable,early 14th century,Japan,Japan,1400's,Asian Art,3281,3407,0.963017317,RGB
39483,Weighing Books,Guo Xu,early 16th century,China,China,1600's,Asian Art,1322,1941,0.681092221,RGB
39536,Living Aloft: Master Liu's Retreat,Wen Zhengming,1543,China,China,1500's,Asian Art,1297,2000,0.6485,RGB
39540,Two eagles,Bada Shanren (Zhu Da),dated 1702,China,China,1700's,Asian Art,2290,4000,0.5725,RGB
39542,Riverbank,Dong Yuan,Unavailable,China,China,Unavailable,Asian Art,2778,4000,0.6945,RGB
39543,Palace banquet,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art,3001,4000,0.75025,RGB
39546,Bamboo after Wen Tong,Ke Jiusi,dated 1343,China,China,1300's,Asian Art,2190,3722,0.588393337,RGB
39547,"Bamboo, old tree, and rock",Wu Zhen,dated 1338,China,China,1300's,Asian Art,1138,2000,0.569,RGB
39548,Rocky Landscape with Pines,Zhang Xun,before 1346,China,China,1300's,Asian Art,1116,1861,0.599677593,RGB
39549,Traveling through Snow-Covered Mountains,Yao Yanqing (Tingmei),Unavailable,China,China,Unavailable,Asian Art,1358,2000,0.679,RGB
39550,The Simple Retreat,Wang Meng,ca. 1370,China,China,1300's,Asian Art,1972,3880,0.508247423,RGB
39551,Mandarin ducks and cotton rose hibiscus,Lü Ji,late 15th century,China,China,1500's,Asian Art,2181,4000,0.54525,RGB
39552,Remonstrating with the emperor,Liu Jun,late 15th–early 16th century,China,China,1500's,Asian Art,2997,4000,0.74925,RGB
39553,Drunken recluse beneath an old tree,Chen Zihe,early 16th century,China,China,1600's,Asian Art,2997,4000,0.74925,RGB
