objectID,Title,ArtistName,TimePeriod,Region Detailed,Country,Century,Culture
38070,The Buddha Descending from Trayastrimsa Heaven at Sankissa,Unavailable,19th century,Thailand,Thailand,1900's,Asian Art
38072,Lamaist Mandala,Unavailable,17th century,China,China,1700's,Asian Art
38347,Lha Mo Riding on a Donkey,Unavailable,18th century,China,China,1800's,Asian Art
38822,Luohans,Unidentified,17th–18th century,China,China,1700's,Asian Art
39482,Mandala of Wakamiya of Kasuga Shrine (Kasuga wakamiya mandara),Unavailable,early 14th century,Japan,Japan,1400's,Asian Art
39483,Weighing Books,Guo Xu,early 16th century,China,China,1600's,Asian Art
39536,Living Aloft: Master Liu's Retreat,Wen Zhengming,1543,China,China,1500's,Asian Art
39540,Two eagles,Bada Shanren (Zhu Da),dated 1702,China,China,1700's,Asian Art
39542,Riverbank,Dong Yuan,Unavailable,China,China,Unavailable,Asian Art
39543,Palace banquet,Unidentified artist,Unavailable,China,China,Unavailable,Asian Art
39546,Bamboo after Wen Tong,Ke Jiusi,dated 1343,China,China,1300's,Asian Art
39547,"Bamboo, old tree, and rock",Wu Zhen,dated 1338,China,China,1300's,Asian Art
39548,Rocky Landscape with Pines,Zhang Xun,before 1346,China,China,1300's,Asian Art
39549,Traveling through Snow-Covered Mountains,Yao Yanqing (Tingmei),Unavailable,China,China,Unavailable,Asian Art
39550,The Simple Retreat,Wang Meng,ca. 1370,China,China,1300's,Asian Art
39551,Mandarin ducks and cotton rose hibiscus,Lü Ji,late 15th century,China,China,1500's,Asian Art
39552,Remonstrating with the emperor,Liu Jun,late 15th–early 16th century,China,China,1500's,Asian Art
39553,Drunken recluse beneath an old tree,Chen Zihe,early 16th century,China,China,1600's,Asian Art
39556,Joint Landscape,Shen Zhou,ca. 1509 and 1546,China,China,1500's,Asian Art
39641,Ink Making,Unidentified artist,early 19th century,China,China,1900's,Asian Art
39651,Equestrian Portrait of a Noble,Bakhta,ca. 1775,"India (Rajasthan, Devgarh)",India,1700's,Asian Art
39654,Garden of the Inept Administrator,Wen Zhengming,1551,China,China,1500's,Asian Art
39667,The Scholar Fu Sheng Transmitting the Book of Documents,Du Jin,15th–mid-16th century,China,China,1500's,Asian Art
39668,"Old Trees, Level Distance",Guo Xi,ca. 1080,China,China,1000's,Asian Art
39669,Taima Mandala,Unavailable,14th century,Japan,Japan,1400's,Asian Art
39714,View of a Garden Villa,Yuan Jiang,18th century (?),China,China,1800's,Asian Art
39725,Three Girls on a Riverbank,Torii Kiyonaga,early 19th century,Japan,Japan,1900's,Asian Art
39764,Ink Play,Jin Nong,dated 1754,China,China,1700's,Asian Art
39767,Grooms and Foreign Horses,Jin Nong,17th–18th century,China,China,1700's,Asian Art
39810,Bird peddler,Unidentified artist,late 15th–early 16th century,China,China,1500's,Asian Art
39881,Amitabha and Kshitigarba,Unidentified artist,first half of the 14th century,Korea,Korea,1400's,Asian Art
39882,Amitabha triad,Unidentified artist,ca. 13th century,Korea,Korea,1300's,Asian Art
39883,Kshitigarbha,Unidentified artist,first half of the 14th century,Korea,Korea,1400's,Asian Art
39887,Brahma with Attendants and Musicians,Unidentified artist,late 16th century,Korea,Korea,1600's,Asian Art
39889,Portrait of the Great Master Seosan,Unidentified artist,late 17th–18th century,Korea,Korea,1700's,Asian Art
39894,Maharana Amar Singh II with Ladies of the Zenana outside the Picture Hall at Rajnagar,Stipple Master,ca. 1707–8,"India (Udaipur, Rajasthan)",India,1700's,Asian Art
39901,Night-Shining White,Han Gan,ca. 750,China,China,Before 1000,Asian Art
39933,"Sketch of an ""Inviting Rain"" Mandala",Unavailable,12th century,Japan,Japan,1200's,Asian Art
39935,Palace Ladies Bathing Children,Unidentified artist,11th century,China,China,1100's,Asian Art
39936,Finches and bamboo,Emperor Huizong,early 12th century,China,China,1200's,Asian Art
39937,Fish at play,Zhao Kexiong,12th–late 13th century,China,China,1200's,Asian Art
39993,Crane in a bamboo grove,Unidentified artist,14th–early 15th century,China,China,1400's,Asian Art
40002,Landscape in the style of Fan Kuan,Unidentified artist,early 12th century,China,China,1200's,Asian Art
40003,Travelers in a Wintry Forest,Unidentified artist,early 12th century,China,China,1200's,Asian Art
40010,Monkey and Bee,Okamoto Toyohiko,19th century,Japan,Japan,1900's,Asian Art
40021,Snow Clearing: Landscape after Li Cheng,Wang Hui,dated 1669,China,China,1600's,Asian Art
40053,Xiantang Estuary,Xia Gui,ca. 1200,China,China,1200's,Asian Art
40055,Emperor Xuanzong's Flight to Shu,Unidentified artist,mid-12th century,China,China,1200's,Asian Art
40057,Fisherman's Lodge At Mount Xisai,Li Jie,ca. 1170,China,China,1100's,Asian Art
40072,Beauty Writing a Letter (copy of a section of the Hikone Screen),Unavailable,17th–18th century,Japan,Japan,1700's,Asian Art
40080,Fragrant Snow at Broken Bridge,Wang Mian,14th century,China,China,1400's,Asian Art
40081,Wang Xizhi watching geese,Qian Xuan,ca. 1295,China,China,1200's,Asian Art
40086,Scholar viewing a waterfall,Ma Yuan,late 12th–early 13th century,China,China,1200's,Asian Art
